Date	Time	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	LS000188 FC	LS000190 FC	LS000193 FC	LS000190 AMB	LS000193 AMB	LS000188 AMB
5/10/2013	18:43:42.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.807232	34.835564	34.921520	34.946861	35.105877	35.298752
5/10/2013	18:44:10.06	0	0	0	0	0	0	0	0	0	45	0	104	1	104	13	105	104	46	45	0	101	1	103	14	103	102	45	45	0	101	1	102	6	100	102	45	45	0	102	1	101	7	101	102	45	45	0	103	1	102	7	102	102	45	34.775173	34.795288	34.880325	34.973392	35.128761	35.322529
5/10/2013	18:44:16.46	44	0	101	1	101	6	102	101	45	45	0	103	1	104	7	102	103	46	45	0	100	1	103	8	99	101	45	45	0	99	1	102	6	95	101	44	45	0	99	1	101	7	91	101	45	45	0	99	1	102	7	92	102	45	34.784317	34.801682	34.893120	34.956940	35.123276	35.338058
5/10/2013	18:44:18.11	44	20	97	80	101	6	97	101	45	45	19	102	87	104	7	98	102	46	45	18	98	87	103	7	94	101	45	45	19	95	80	102	6	89	101	44	44	18	93	75	101	6	82	101	45	45	23	93	65	102	6	83	101	45	34.781574	34.785229	34.883984	34.982552	35.136082	35.343555
5/10/2013	18:44:19.76	44	19	90	80	101	6	92	99	45	45	19	96	87	104	7	87	102	46	45	19	93	87	103	7	84	101	44	44	20	90	80	102	6	81	101	44	44	18	87	75	101	7	73	100	45	45	24	87	65	102	6	75	101	45	34.779743	34.790707	34.896778	34.987118	35.142475	35.358173
5/10/2013	18:44:21.44	44	19	84	80	101	6	87	99	45	45	18	90	87	103	7	77	101	46	45	18	87	87	103	7	76	100	44	44	19	84	80	102	6	75	100	44	44	17	82	76	101	6	67	99	45	45	23	82	64	102	6	70	101	45	34.786144	34.796196	34.905918	34.995346	35.156185	35.359097
5/10/2013	18:44:23.10	44	19	79	80	101	6	83	98	45	45	18	85	87	103	7	71	100	46	45	18	82	87	103	7	70	99	44	44	19	79	81	102	6	70	100	44	44	18	77	76	101	7	63	98	45	45	25	77	65	102	7	66	100	45	34.788879	34.798939	34.902260	34.973392	35.147038	35.352680
5/10/2013	18:44:24.76	44	19	74	80	101	6	80	97	45	45	18	79	87	103	7	67	99	46	45	18	78	87	103	7	66	98	44	44	19	75	80	102	6	66	99	44	44	18	72	75	101	7	59	98	45	45	24	73	65	102	7	63	100	45	34.781574	34.801682	34.905918	35.000820	35.151600	35.381001
5/10/2013	18:44:26.40	44	20	69	80	101	6	76	97	45	45	18	75	87	103	7	63	98	46	45	17	73	87	103	7	63	97	44	44	20	71	80	102	6	64	99	44	44	18	68	75	101	7	57	97	45	45	24	69	65	102	7	60	99	45	34.801697	34.804432	34.911415	35.002644	35.175362	35.398361
5/10/2013	18:44:28.05	44	19	65	80	101	6	73	96	45	45	17	70	87	103	7	60	96	46	45	18	70	87	103	7	60	95	44	44	20	67	80	102	6	61	98	44	44	18	64	76	101	6	57	95	45	45	23	65	65	102	6	58	99	45	34.823650	34.830959	34.937939	35.013607	35.192726	35.433083
